Reg_No,Variation Number,Service Number,Current Traffic Area,Lic_No,Discs in Possession,AUTHDISCS,Granted_Date,Exp_Date,Description,Op_ID,Op_Name,trading_name,Address,start_point,finish_point,via,effective_date,received_date,end_date,Service_Type_Other_Details,Licence Status,Registration Status,Pub_Text,Service_Type_Description,Short Notice,Subsidies_Description,Subsidies_Details,Auth_Description,TAO Covered BY Area,Registration Code
PF0000003/10,2,971,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Hadleigh,Colchester,,05/09/2016,08/07/2016,,variation to route,Valid,Registered,Operating between Hadleigh and Colchester given service number 971 effective from 05-Sep-2016. To amend Route.,Normal Stopping,NO,No,,Essex County Council,East of England,10
PF0000003/10,2,971,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Hadleigh,Colchester,,05/09/2016,08/07/2016,,variation to route,Valid,Registered,Operating between Hadleigh and Colchester given service number 971 effective from 05-Sep-2016. To amend Route.,Normal Stopping,NO,No,,Suffolk County Council,East of England,10
PF0000003/11,6,236,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Sudbury,Haverhill,,04/09/2017,10/07/2017,,Variation to timetable,Valid,Registered,Operating between Sudbury and Haverhill given service number 236 effective from 04 September 2017. To amend Timetable.,Normal Stopping,NO,In Part,Suffolk,Essex County Council,East of England,11
PF0000003/11,6,236,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Sudbury,Haverhill,,04/09/2017,10/07/2017,,Variation to timetable,Valid,Registered,Operating between Sudbury and Haverhill given service number 236 effective from 04 September 2017. To amend Timetable.,Normal Stopping,NO,In Part,Suffolk,Suffolk County Council,East of England,11
PF0000003/12,10,91,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Sudbury,Ipswich,,04/09/2017,10/07/2017,,changes to frequency and routing.,Valid,Registered,Operating between Sudbury and Ipswich given service number 91 / 91C effective from 04 September 2017. To amend Route and Timetable.,Normal Stopping,NO,In Part,Suffolk CC,Suffolk County Council,East of England,12
PF0000003/26,0,462,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Hadleigh,Stowmarket,,03/09/2012,24/08/2012,,Wednesdays & Fridays.,Valid,Registered,"From: Hadleigh
To: Stowmarket
Via: 
Name or No: 462
Service Type: Normal Stopping
Effective Date: 03-Sep-2012
Other Details: Wednesdays & Fridays.",Normal Stopping,Yes,Yes,Suffolk,Suffolk County Council,East of England,26
PF0000003/37,0,OC7,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Felixstowe,"Easton & Otley College, Otley",,07/09/2015,26/08/2015,,"Monday to Friday 
School days only",Valid,Registered,"From: Felixstowe
To: Easton & Otley College, Otley
Via: 
Name or No: OC7
Service Type: School or Works
Effective Date: 07-Sep-2015
Other Details: Monday to Friday 
School days only",School or Works,Yes,Yes,Norfolk,Norfolk County Council,East of England,37
PF0000003/37,0,OC7,F,PF0000003,40,40,26/06/1992,31/05/2021,Standard International,16346,BEESTONS (HADLEIGH) LTD,BEESTONS COACHES,"IPSWICH ROAD, THE COACH DEPOT, HADLEIGH, IPSWICH, IP7 6BG, GB",Felixstowe,"Easton & Otley College, Otley",,07/09/2015,26/08/2015,,"Monday to Friday 
School days only",Valid,Registered,"From: Felixstowe
To: Easton & Otley College, Otley
Via: 
Name or No: OC7
Service Type: School or Works
Effective Date: 07-Sep-2015
Other Details: Monday to Friday 
School days only",School or Works,Yes,Yes,Norfolk,Suffolk County Council,East of England,37
PF0000014/5,0,BM0577,F,PF0000014,23,23,01/04/1995,31/03/2015,Standard International,16347,CEDRIC GARAGES (WIVENHOE) LTD,CEDRIC COACHES INTERNATIONAL,"WIVENHOE, THE AVENUE, COLCHESTER, CO7 9AH, GB",Gt Bentley,Brightlingsea,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,5
PF0000014/9,0,BM0802,F,PF0000014,23,23,01/04/1995,31/03/2015,Standard International,16347,CEDRIC GARAGES (WIVENHOE) LTD,CEDRIC COACHES INTERNATIONAL,"WIVENHOE, THE AVENUE, COLCHESTER, CO7 9AH, GB",Elmstead Market,Brightlingsea,,08/04/2002,,,,Valid,Registered,,,NO,No,,,East of England,9
PF0000014/10,1,BM0832,F,PF0000014,23,23,01/04/1995,31/03/2015,Standard International,16347,CEDRIC GARAGES (WIVENHOE) LTD,CEDRIC COACHES INTERNATIONAL,"WIVENHOE, THE AVENUE, COLCHESTER, CO7 9AH, GB",ST OSYTH - OAKWOOD INN,COLCHESTER - NORMAN WAY CAR PARK,CLACTION ON SEA,24/09/2002,10/09/2002,,NEW TIMETABLE,Valid,Registered,Operating between ST OSYTH - OAKWOOD INN and COLCHESTER - NORMAN WAY CAR PARK given service number BM0832 effective from 24-Sep-2002. To amend Timetable.,School or Works,Yes,No,,Essex County Council,East of England,10
